production_order_id,production_date,finished_product,material_id,quantity_consumed,is_null_prod_order_id,is_null_material_id,is_null_qty_consumed,is_null_finished
PRD-001,2025-01-15,Anti-Rust Coating,MAT002,240,0,0,0,0
PRD-001,2025-01-15,Anti-Rust Coating,MAT008,300,0,0,0,0
PRD-001,2025-01-15,Anti-Rust Coating,MAT011,150,0,0,0,0
PRD-001,2025-01-15,Anti-Rust Coating,MAT018,150,0,0,0,0
PRD-002,2025-01-15,Automotive Red Paint,MAT002,210,0,0,0,0
PRD-002,2025-01-15,Automotive Red Paint,MAT007,240,0,0,0,0
PRD-002,2025-01-15,Automotive Red Paint,MAT011,135,0,0,0,0
PRD-002,2025-01-15,Automotive Red Paint,MAT016,270,0,0,0,0
PRD-003,2025-01-15,Clear Varnish,MAT006,450,0,0,0,0
PRD-003,2025-01-15,Clear Varnish,MAT013,300,0,0,0,0
PRD-003,2025-01-15,Clear Varnish,MAT015,150,0,0,0,0
PRD-003,2025-01-15,Clear Varnish,MAT016,400,0,0,0,0
PRD-004,2025-01-15,Industrial Grey Primer,MAT003,240,0,0,0,0
PRD-004,2025-01-15,Industrial Grey Primer,MAT006,320,0,0,0,0
PRD-004,2025-01-15,Industrial Grey Primer,MAT011,200,0,0,0,0
PRD-004,2025-01-15,Industrial Grey Primer,MAT017,320,0,0,0,0
PRD-005,2025-01-15,Marine Blue Coating,MAT004,240,0,0,0,0
PRD-005,2025-01-15,Marine Blue Coating,MAT008,400,0,0,0,0
PRD-005,2025-01-15,Marine Blue Coating,MAT011,220,0,0,0,0
PRD-005,2025-01-15,Marine Blue Coating,MAT018,220,0,0,0,0
PRD-006,2025-01-15,Wood Stain Brown,MAT002,150,0,0,0,0
PRD-006,2025-01-15,Wood Stain Brown,MAT007,210,0,0,0,0
PRD-006,2025-01-15,Wood Stain Brown,MAT012,120,0,0,0,0
PRD-006,2025-01-15,Wood Stain Brown,MAT016,270,0,0,0,0
PRD-007,2025-02-07,Anti-Rust Coating,MAT002,400,0,0,0,0
PRD-007,2025-02-07,Anti-Rust Coating,MAT008,500,0,0,0,0
PRD-007,2025-02-07,Anti-Rust Coating,MAT011,250,0,0,0,0
PRD-007,2025-02-07,Anti-Rust Coating,MAT018,250,0,0,0,0
PRD-008,2025-02-07,Clear Varnish,MAT006,180,0,0,0,0
PRD-008,2025-02-07,Clear Varnish,MAT013,120,0,0,0,0
PRD-008,2025-02-07,Clear Varnish,MAT015,60,0,0,0,0
PRD-008,2025-02-07,Clear Varnish,MAT016,160,0,0,0,0
PRD-009,2025-02-07,Epoxy Floor Coating,MAT008,360,0,0,0,0
PRD-009,2025-02-07,Epoxy Floor Coating,MAT003,120,0,0,0,0
PRD-009,2025-02-07,Epoxy Floor Coating,MAT011,180,0,0,0,0
PRD-009,2025-02-07,Epoxy Floor Coating,MAT018,180,0,0,0,0
PRD-010,2025-02-07,Industrial Grey Primer,MAT003,120,0,0,0,0
PRD-010,2025-02-07,Industrial Grey Primer,MAT006,160,0,0,0,0
PRD-010,2025-02-07,Industrial Grey Primer,MAT011,100,0,0,0,0
